expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time,confidence_adjustments_steps,confidence_adjustments_times
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_12h47.59.248,2025-01-29 12:48:04,None,None,999,,,1,0.5,low,30,low,246.0,276.0,0.7695088590069383,CW,CCW,False,blue,orange,11.495556599926203,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_12h47.59.248,2025-01-29 12:48:04,None,None,999,,,2,0.7,high,50,high,90.0,140.0,0.7697473990646096,CW,CCW,False,orange,blue,24.828062299871817,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_12h47.59.248,2025-01-29 12:48:04,None,None,999,,,3,0.7,high,50,high,82.0,32.0,0.5166684781544455,CCW,CW,False,blue,orange,34.44310549995862,80,80,3.7009,80|75|70|65|60|55|60|65|70|75|80,0.0|2.2178|2.3836|2.5344|2.6846|2.8346|3.0009|3.1511|3.3013|3.4516|3.6183
