expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time,confidence_adjustments_steps,confidence_adjustments_times
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_13h11.17.090,2025-01-29 13:11:22,None,None,999,,,1,0.5,low,30,low,48.0,78.0,0.6960872686869946,CW,CCW,False,orange,blue,10.693579599959776,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_13h11.17.090,2025-01-29 13:11:22,None,None,999,,,2,0.5,low,50,high,135.0,85.0,0.6709461495400423,CCW,CW,False,blue,orange,15.958650700049475,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_13h11.17.090,2025-01-29 13:11:22,None,None,999,,,3,0.5,low,50,high,99.0,149.0,0.7258876460838913,CW,CCW,False,orange,blue,21.86579730012454,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_13h11.17.090,2025-01-29 13:11:22,None,None,999,,,4,0.5,low,50,high,327.0,277.0,0.536246514562858,CCW,CCW,True,orange,orange,27.929676899919286,70,65,3.296,70|75|80|85|90|95|100|95|90|85|80|75|70|65,0.0|0.63|0.7965|0.9632|1.1298|1.2966|1.4632|1.9464|2.1131|2.2632|2.4294|2.5799|2.7467|2.9126
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_13h11.17.090,2025-01-29 13:11:22,None,None,999,,,5,0.7,high,30,low,180.0,210.0,0.4829256019255721,CW,CCW,False,blue,orange,37.1548349999357,60,65,0.8288,60|65,0.0|0.6951
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_13h11.17.090,2025-01-29 13:11:22,None,None,999,,,6,0.7,high,50,high,53.0,103.0,0.6383170651818104,CW,CCW,False,orange,blue,43.769915600074455,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_13h11.17.090,2025-01-29 13:11:22,None,None,999,,,7,0.5,low,30,low,208.0,178.0,0.5335036447372248,CCW,CW,False,blue,orange,48.930426199920475,55,60,1.0664,55|60,0.0|0.6338
