expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time,confidence_adjustments_steps,confidence_adjustments_times
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_11h09.56.990,2025-01-22 11:10:00,None,None,999,,,1,0.5,low,30,low,294.0,324.0,0.7544317864718104,CW,CCW,False,blue,orange,8.708533799974248,None,None,None,,
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_11h09.56.990,2025-01-22 11:10:00,None,None,999,,,2,0.5,low,50,high,47.0,357.0,0.5616246350524778,CCW,CCW,True,orange,orange,14.322666799998842,9,80,1.372934103012085,9,8,7,6,0,0.660555362701416,0.8275051116943359,0.9772398471832275
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_11h09.56.990,2025-01-22 11:10:00,None,None,999,,,3,0.7,high,30,low,229.0,259.0,0.6234188578524723,CW,CCW,False,blue,orange,24.849603299982846,None,None,None,,
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_11h09.56.990,2025-01-22 11:10:00,None,None,999,,,4,0.7,high,30,low,31.0,1.0,0.5341607416352727,CCW,CW,False,blue,orange,31.519722299999557,None,None,None,,
