expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time,confidence_adjustments_steps,confidence_adjustments_times
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,1,0.7,high,50,high,354.0,44.0,0.7437676837177043,CW,CW,True,orange,orange,111.65345379989594,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,2,0.5,low,30,low,203.0,173.0,0.5746620815778706,CCW,CCW,True,blue,blue,117.01323659997433,50,60,0.9811,50|55|60,0.0|0.6973|0.864
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,3,0.5,low,50,high,165.0,115.0,0.7194205894953731,CCW,CCW,True,blue,blue,124.6059055000078,95,90,1.6534,95|90,0.0|1.4214
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,4,0.5,low,30,low,77.0,107.0,0.5092865383764374,CW,CW,True,orange,orange,132.25781189999543,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,5,0.5,low,50,high,188.0,138.0,0.5666457667911252,CCW,CCW,True,blue,blue,137.31496579991654,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,6,0.7,high,30,low,96.0,126.0,0.481429839258607,CW,CW,True,orange,orange,142.31795249995776,100,95,1.2625,100|95,0.0|1.0462
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,7,0.5,low,30,low,287.0,317.0,0.5045922373826965,CW,CCW,False,blue,orange,149.56834189989604,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,8,0.7,high,30,low,184.0,154.0,0.7239811424680024,CCW,CCW,True,blue,blue,155.27091330010444,80,75,1.0729,80|75,0.0|0.9069
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,9,0.5,low,50,high,87.0,137.0,0.5783499490327041,CW,CW,True,orange,orange,162.5856798000168,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,10,0.5,low,50,high,325.0,15.0,0.6472375063555764,CW,CW,True,orange,orange,168.47386680007912,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,11,0.7,high,50,high,270.0,320.0,0.6906853792181187,CW,CCW,False,blue,orange,174.63892509997822,95,85,1.1876,95|90|85,0.0|0.8214|0.9877
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,12,0.5,low,30,low,149.0,119.0,0.721373310874144,CCW,CCW,True,blue,blue,182.34956289990805,90,80,0.9631,90|85|80,0.0|0.5799|0.7961
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,13,0.7,high,30,low,177.0,207.0,0.48354962058175227,CW,CW,True,blue,blue,189.54289299994707,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,14,0.7,high,50,high,239.0,289.0,0.5972109624125396,CW,CW,True,blue,blue,194.7135654001031,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,15,0.7,high,50,high,314.0,264.0,0.5116728678552056,CCW,CCW,True,orange,orange,200.07746169995517,50,60,1.1122,50|55|60,0.0|0.8131|1.0466
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,16,0.7,high,30,low,273.0,303.0,0.675022203173431,CW,CW,True,blue,blue,207.73230029991828,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,17,0.5,low,50,high,21.0,71.0,0.4514618341951449,CW,CCW,False,orange,blue,213.44460680009797,70,80,0.9842,70|75|80,0.0|0.6504|0.851
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,18,0.7,high,30,low,107.0,77.0,0.7270693481230641,CCW,CW,False,blue,orange,224.32196819991805,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,None,None,999,,,19,0.7,high,50,high,17.0,327.0,0.702898884557992,CCW,CCW,True,orange,orange,229.58125320007093,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h40.49.117,2025-01-30 11:42:33,2025-01-30 11:44:43,0:02:09.442757,999,,,20,0.5,low,30,low,348.0,18.0,0.4200982578776716,CW,CW,True,orange,orange,235.65441059996374,None,None,None,None,None
