expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time,confidence_adjustments_steps,confidence_adjustments_times
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_11h26.04.320,2025-01-22 11:26:09,None,None,999,,,1,0.7,high,50,high,322.0,12.0,0.7952199636173873,CW,CW,True,orange,orange,10.442491199937649,80,70,1.9170734882354736,80|75|70,0|0.7044661045074463|0.8724451065063477
confidence-pgACC-TUS,R88533/RE002,1,2025-01-22_11h26.04.320,2025-01-22 11:26:09,None,None,999,,,2,0.5,low,30,low,181.0,151.0,0.6530169183600723,CCW,CCW,True,blue,blue,18.246464399970137,60,70,1.5995659828186035,60|65|70,0|0.4716603755950928|0.6529593467712402
