expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time,confidence_adjustments_steps,confidence_adjustments_times
confidence-pgACC-TUS,R88533/RE002,1,2025-02-15_15h09.46.178,2025-02-15 15:09:49,None,None,999,,,1,0.5,low,30,low,109.0,139.0,0.4856058936102001,CW,CCW,False,orange,blue,13.222525699995458,70,100,11.7964,70|75|70|65|60|55|50|55|60|65|70|75|80|85|90|95|100,0.0|1.4175|1.8498|3.1003|3.251|3.5163|3.7005|4.7996|5.2992|6.0171|7.6973|8.1648|8.7673|9.1997|10.3338|10.6346|10.9004
confidence-pgACC-TUS,R88533/RE002,1,2025-02-15_15h09.46.178,2025-02-15 15:09:49,None,None,999,,,2,0.5,low,30,low,15.0,345.0,0.6419349991847227,CCW,CCW,True,orange,orange,30.926285800000187,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-02-15_15h09.46.178,2025-02-15 15:09:49,None,None,999,,,3,0.5,low,50,high,24.0,74.0,0.4179872804432887,CW,CW,True,orange,orange,36.32873199999449,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-02-15_15h09.46.178,2025-02-15 15:09:49,None,None,999,,,4,0.7,high,30,low,80.0,50.0,0.6904276907464042,CCW,CW,False,blue,orange,41.70324639999308,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-02-15_15h09.46.178,2025-02-15 15:09:49,None,None,999,,,5,0.5,low,50,high,307.0,257.0,0.46236679698021127,CCW,CCW,True,orange,orange,46.96733780001523,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-02-15_15h09.46.178,2025-02-15 15:09:49,None,None,999,,,6,0.7,high,30,low,142.0,172.0,0.6783570805681337,CW,CCW,False,orange,blue,52.31434310000623,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-02-15_15h09.46.178,2025-02-15 15:09:49,None,None,999,,,7,0.7,high,50,high,83.0,33.0,0.4158373163725113,CCW,CW,False,blue,orange,57.55918250000104,None,None,None,None,None
