expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time,confidence_adjustments_steps,confidence_adjustments_times
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,1,0.7,high,30,low,68.0,98.0,0.4044384871179665,CW,CW,True,orange,orange,11.854668200016022,65,85,1.4223,65|70|75|80|85,0.0|0.6577|0.8219|0.9724|1.1229
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,2,0.5,low,50,high,32.0,342.0,0.46820533332558995,CCW,CW,False,orange,blue,19.68670540000312,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,3,0.7,high,30,low,234.0,204.0,0.4457353445852779,CCW,CW,False,orange,blue,24.87289209989831,80,95,0.9669,80|85|90|95,0.0|0.5501|0.7009|0.8513
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,4,0.7,high,50,high,80.0,130.0,0.6115708562500284,CW,CW,True,orange,orange,32.02352899988182,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,5,0.5,low,50,high,118.0,168.0,0.7789094677084113,CW,CW,True,orange,orange,37.54523060005158,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,6,0.7,high,50,high,155.0,105.0,0.65533572083369,CCW,CCW,True,blue,blue,42.77632820000872,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,7,0.5,low,50,high,160.0,210.0,0.5212025316718895,CW,CW,True,blue,blue,47.87059209984727,60,70,0.9279,60|65|70,0.0|0.5626|0.7624
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,8,0.7,high,30,low,238.0,208.0,0.5588277301085407,CCW,CW,False,orange,blue,55.5779804000631,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,9,0.5,low,30,low,23.0,53.0,0.6983761062622557,CW,CCW,False,orange,blue,60.9213719998952,50,55,0.745,50|55,0.0|0.5454
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,10,0.7,high,50,high,241.0,191.0,0.7700358707651896,CCW,CW,False,orange,blue,68.28341099992394,55,60,1.5234,55|60,0.0|1.2072
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,11,0.7,high,30,low,10.0,340.0,0.5405738935427731,CCW,CCW,True,orange,orange,76.31921899993904,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,12,0.7,high,50,high,256.0,206.0,0.4598418410666483,CCW,CW,False,orange,blue,81.42577839992009,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,13,0.5,low,30,low,202.0,172.0,0.7292555219257179,CCW,CCW,True,blue,blue,86.66474869986996,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,14,0.5,low,30,low,116.0,146.0,0.6977001460058971,CW,CW,True,orange,orange,92.06767580006272,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,15,0.7,high,50,high,211.0,161.0,0.4030887234810412,CCW,CW,False,blue,orange,97.4096009999048,70,75,0.9987,70|75,0.0|0.5657
confidence-pgACC-TUS,R88533/RE002,1,2025-01-30_11h23.21.332,2025-01-30 11:23:24,None,None,999,,,16,0.5,low,50,high,267.0,317.0,0.5656383027526309,CW,CCW,False,blue,orange,104.68365000002086,85,90,1.1475,85|90,0.0|0.9989
