expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_start_position,confidence_rating,confidence_response_time,confidence_adjustments_steps,confidence_adjustments_times
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_12h17.51.777,2025-01-29 12:17:58,None,None,999,,,1,0.7,high,30,low,257.0,227.0,0.7051748902859669,CCW,CCW,True,orange,orange,12.849128399975598,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_12h17.51.777,2025-01-29 12:17:58,None,None,999,,,2,0.7,high,30,low,343.0,13.0,0.4635240165826164,CW,CW,True,orange,orange,18.099248399958014,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_12h17.51.777,2025-01-29 12:17:58,None,None,999,,,3,0.7,high,30,low,89.0,59.0,0.540736909917139,CCW,CCW,True,blue,blue,23.814506700029597,None,None,None,None,None
confidence-pgACC-TUS,R88533/RE002,1,2025-01-29_12h17.51.777,2025-01-29 12:17:58,None,None,999,,,4,0.7,high,30,low,183.0,153.0,0.4517346069134516,CCW,CCW,True,blue,blue,28.98894469998777,None,None,None,None,None
